FileName	FileExtension	Rules	DLLandingZoneLocation	DLRawZoneLocation	JSONData
A15_DM_API_AUTHENTICATION_DETAIL_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_API_AUTHENTICATION_DETAIL/	/Raw/DDM/A15_DM_API_AUTHENTICATION_DETAIL/	"{""fields"":[{""metadata"":{},""name"":""request_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""request_type_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""vendor_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""website_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""start_time"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""end_time"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""request_status_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""request_exception_message"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""access_type_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""channel_type_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""preceding_request_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""orig_individual_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""individual_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""user_id"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""loyalty_id"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_AUDIENCE_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_AUDIENCE/	/Raw/DDM/A15_DM_AUDIENCE/	"{""fields"":[{""metadata"":{},""name"":""program_number"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""program_phase_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""cell_number"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""package_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""cell_description"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""cell_strategy"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""audience_category_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""outbound_vendor_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""redemption_adjustment_factor"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""model_exclude_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""legally_approved_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""drop_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""promo_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""impact_cell_id"",""nullable"":true,""type"":""long""},{""metadata"":{},""name"":""channel_type_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""classification_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""posting_level_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""record_create_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""sp_campaign_id"",""nullable"":true,""type"":""long""}]}"
A15_DM_CODE_TABLE_{numeric}_yyyyMMddhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_CODE_TABLE/	/Raw/DDM/A15_DM_CODE_TABLE/	"{""fields"":[{""metadata"":{},""name"":""TABLE_NAME"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""COLUMN_NAME"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""CODE_ID"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""CODE_DESCRIPTION"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""CODE_STATUS"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""RECORD_CREATE_DATE"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""LAST_REBUILD_DATE"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_INDIVIDUAL_BRAND_CONSIDSET_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_INDIVIDUAL_BRAND_CONSIDSET/	/Raw/DDM/A15_DM_INDIVIDUAL_BRAND_CONSIDSET/	"{""fields"":[{""metadata"":{},""name"":""individual_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""brand_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""considset_ever_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_INDIVIDUAL_CONSIDSET_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_INDIVIDUAL_CONSIDSET/	/Raw/DDM/A15_DM_INDIVIDUAL_CONSIDSET/	"{""fields"":[{""metadata"":{},""name"":""individual_id "",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""considset_ever_premium_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""considset_ever_discount_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_INDIVIDUAL_CONSIDSET_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_INDIVIDUAL_CONSIDSET/	/Raw/DDM/A15_DM_INDIVIDUAL_CONSIDSET/	"{""fields"":[{""metadata"":{},""name"":""individual_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""considset_ever_premium_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""considset_ever_discount_flag"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_INDIVIDUAL_CONSOLIDATE_HIST_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_INDIVIDUAL_CONSOLIDATE_HIST/	/Raw/DDM/A15_DM_INDIVIDUAL_CONSOLIDATE_HIST/	"{""fields"":[{""metadata"":{},""name"":""OLD_INDIVIDUAL_ID"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""INDIVIDUAL_ID"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""CONSOLIDATED_DATE"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""RECORD_CREATE_DATE"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""LAST_REBUILD_DATE"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_INDIVIDUAL_PREFERENCES_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_INDIVIDUAL_PREFERENCES/	/Raw/DDM/A15_DM_INDIVIDUAL_PREFERENCES/	"{""fields"":[{""metadata"":{},""name"":""individual_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""preference_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""preference_value"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""data_source_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""transaction_id"",""nullable"":true,""type"":""long""},{""metadata"":{},""name"":""record_create_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""owner_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""list_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""transaction_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""program_number"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""program_phase_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""cell_number"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""treatment_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""brand_family_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""channel_type_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""product_line_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_MODEL_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_MODEL/	/Raw/DDM/A15_DM_MODEL/	"{""fields"":[{""metadata"":{},""name"":""model_id"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""brand_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""model_name"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""description"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""target_audience"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""last_score_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""status_cd"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""scored_count"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""sql_only_model"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""coupled_run"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""model_abbrev"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""aud_expected_delivery_date"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""aud_emp_extract_start_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""aud_emp_ind_count"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""aud_emp_ch_count"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""aud_mf_sas_start_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""aud_mf_sas_ind_count"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""aud_mf_sas_ch_count"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""aud_acx_signoff_initial"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""aud_lbc_signoff_initial"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""aud_lbc_signoff_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""aud_notes"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""record_create_date"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""last_rebuild_date"",""nullable"":true,""type"":""timestamp""}]}"
A15_DM_OFFER_{numeric}_yyyyMMDDhhmmss_FILE<numeric>	txt	Only Schema Validation	/Landing/DDM/A15_DM_OFFER/	/Raw/DDM/A15_DM_OFFER/	"{""fields"":[{""metadata"":{},""name"":""OFFER_CD"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""OFFER_CATEGORY_CD"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""OFFER_VALUE"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""OFFER_DESCRIPTION"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""PACKAGE_TYPE_CD"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""PURCHASE_REQUIREMENT"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""STICKS_MOVED"",""nullable"":true,""type"":""int""},{""metadata"":{},""name"":""OFFER_STATUS_CD"",""nullable"":true,""type"":""string""},{""metadata"":{},""name"":""RECORD_CREATE_DATE"",""nullable"":true,""type"":""timestamp""},{""metadata"":{},""name"":""LAST_REBUILD_DATE"",""nullable"":true,""type"":""timestamp""}]}"
